DealerID,DealerName,DealerAddress,DealerLocation,DealerNo,DealerRegion
BuddyStorbeck'sDieselServiceInc44WalnutSt44WalnutSt06457-3834Middletown,Buddy Storbeck's Diesel Service Inc,44 Walnut St,44 Walnut St,06457-3834,Middletown
C&MMotorsInc4333OgdenAve4333OgdenAve60504-7114Aurora,C & M Motors Inc,4333 Ogden Ave,4333 Ogden Ave,60504-7114,Aurora
CapitolKIA3GreenTreeTrl3GreenTreeTrl38701-8047Greenville,Capitol KIA,3 Green Tree Trl,3 Green Tree Trl,38701-8047,Greenville
ChryslerofTri-Cities3203WMarieSt3203WMarieSt99301-3882Pasco,Chrysler of Tri-Cities,3203 W Marie St,3203 W Marie St,99301-3882,Pasco
ChryslerPlymouth6137SUs-516137SUs-5153546-9427Janesville,Chrysler Plymouth,6137 S Us-51,6137 S Us-51,53546-9427,Janesville
ClassicChevy6640EMcDowellRd6640EMcDowellRd85257-3102Scottsdale,Classic Chevy,6640 E McDowell Rd,6640 E McDowell Rd,85257-3102,Scottsdale
ClayJohnsonAutoSales8501ResearchBlvd8501ResearchBlvd78758-7841Austin,Clay Johnson Auto Sales,8501 Research Blvd,8501 Research Blvd,78758-7841,Austin
DiehlMotorCOInc44WalnutSt44WalnutSt06457-3834Middletown,Diehl Motor CO Inc,44 Walnut St,44 Walnut St,06457-3834,Middletown
EnterpriseRentACar4333OgdenAve4333OgdenAve60504-7114Aurora,Enterprise Rent A Car,4333 Ogden Ave,4333 Ogden Ave,60504-7114,Aurora
GartnerBuickHyundaiSaab3GreenTreeTrl3GreenTreeTrl38701-8047Greenville,Gartner Buick Hyundai Saab,3 Green Tree Trl,3 Green Tree Trl,38701-8047,Greenville
HatfieldVolkswagen3203WMarieSt3203WMarieSt99301-3882Pasco,Hatfield Volkswagen,3203 W Marie St,3203 W Marie St,99301-3882,Pasco
IcebergRentals6137SUs-516137SUs-5153546-9427Janesville,Iceberg Rentals,6137 S Us-51,6137 S Us-51,53546-9427,Janesville
McKinneyDodgeChryslerJeep6640EMcDowellRd6640EMcDowellRd85257-3102Scottsdale,McKinney Dodge Chrysler Jeep,6640 E McDowell Rd,6640 E McDowell Rd,85257-3102,Scottsdale
